Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿Qué evento internacional debilitó el control español en América?","La invasión napoleónica a España","La Primera Guerra Mundial","La Guerra de los Siete Años","La Guerra Civil Española","A"
"¿Qué estrategia usaron los criollos para difundir ideas independentistas?","Sociedades secretas","Ataques directos","Bloqueos económicos","Alianzas con otras colonias","A"
"¿Qué institución representaba el poder español en las colonias?","El Virreinato","El Parlamento","La Casa de Contratación","El Tribunal Supremo","A"
"¿Qué papel jugaron las mujeres en la independencia?","Espías y mensajeras","No participaron","Solo observadoras","Combatientes oficiales","A"
"¿Cuál fue la última ciudad en ser liberada en Colombia?","Cartagena","Bogotá","Cali","Medellín","A"
"¿Qué significó la 'Patria Boba'?","Periodo de inestabilidad post-independencia","Un insulto a los patriotas","Una novela de la época","Un tratado de paz","A"
"¿Quién lideró la Campaña Libertadora de Nueva Granada?","Simón Bolívar","José Antonio Páez","Antonio José de Sucre","Manuel Piar","A"
"¿Cuál era el nombre oficial de Colombia después de la independencia?","República de Colombia","Estados Unidos de Colombia","Nueva Granada","Gran Colombia","D"
"¿Qué batalla marcó el fin del dominio español en Colombia?","Batalla de Boyacá","Batalla de Ayacucho","Batalla de Carabobo","Batalla de Junín","A"
"¿Qué región de Colombia fue crucial para las campañas militares?","Los Andes","La Amazonía","La Costa Caribe","El Pacífico","A"
"¿Qué efecto tuvo la independencia en la población indígena?","Continuaron marginados","Obtuvieron tierras","Fueron expulsados","Asumieron el poder","A"
"¿Cuál fue el rol de Francisco de Paula Santander?","Organizó el ejército","Fue un general español","Escribió el himno","Descubrió América","A"
"¿Qué moneda se usaba después de la independencia?","Real","Peso colombiano","Dólar","Libra esterlina","B"
"¿Qué país no comparte historia de independencia similar con Colombia?","Brasil","Venezuela","Ecuador","Perú","A"
"¿Qué territorio se separó de Colombia en 1903?","Panamá","Ecuador","Venezuela","Perú","A"
"¿Qué ideología política influyó en la independencia?","Liberalismo","Fascismo","Comunismo","Monarquismo","A"
"¿Qué país europeo reconoció primero la independencia de Colombia?","Inglaterra","Francia","España","Portugal","A"
"¿Qué general español fue derrotado en Boyacá?","José María Barreiro","Pablo Morillo","Miguel de la Torre","Juan de Sámano","A"
"¿Qué recurso natural era importante durante la colonia?","Oro","Petróleo","Café","Gás natural","A"
"¿Cómo se llamaba el movimiento que buscaba reformas antes de la independencia?","Revolución de los Comuneros","La Conquista","La Reforma Agraria","El Renacimiento","A"
"¿Cuál fue una causa interna de la independencia?","Descontento criollo","Invasión extranjera","Plaga agrícola","Descubrimiento de América","A"
"¿Quién fue Policarpa Salavarrieta?","Espía y heroína","Virreina española","Escritora famosa","Cantante popular","A"
"¿Qué se celebró en Colombia el 20 de julio de 2010?","Bicentenario de la independencia","Fin de la Guerra Civil","Elección presidencial","Copa Mundial de Fútbol","A"
"¿Qué rol tuvieron las logias masónicas?","Difusión de ideas liberales","Ninguno","Represión de rebeldes","Organización religiosa","A"
"¿Qué documento estableció la abolición de la esclavitud en Colombia?","Constitución de 1853","Acta de Independencia","Memorial de Agravios","Decreto de Guerra a Muerte","A"
"¿Cuál era la capital del Virreinato de Nueva Granada?","Santa Fe de Bogotá","Quito","Caracas","Lima","A"
"¿Qué era la Real Audiencia?","Tribunal de justicia","Escuela de arte","Iglesia principal","Mercado colonial","A"
"¿Quién fue el último virrey de Nueva Granada?","Juan de Sámano","Antonio Amar y Borbón","Francisco Montalvo","Pedro de Ceballos","A"
"¿Qué significó la Constitución de Cúcuta?","Unificó la Gran Colombia","Dividió el territorio","Restauró la monarquía","Estableció el virreinato","A"
"¿Qué fue la Expedición Botánica?","Proyecto científico en la colonia","Conquista militar","Ruta comercial","Misión religiosa","A"
"¿Qué influencia tuvo Haití en la independencia?","Apoyo militar y moral","Ninguna","Invasión territorial","Competencia económica","A"
"¿Qué eran las Capitulaciones de Santa Fe?","Acuerdo entre Colón y los Reyes","Pacto indígena","Tratado de paz","Ley económica","A"
"¿Cuál fue el propósito del Regimiento Fijo de Cartagena?","Defensa militar española","Educación superior","Comercio exterior","Exploración científica","A"
"¿Qué era el estanco del tabaco?","Monopolio estatal","Fábrica privada","Mercado libre","Impuesto local","A"
"¿Qué provocó la Revolución de los Comuneros?","Impuestos excesivos","Ley de vagos y maleantes","Reformas agrarias","Influencia extranjera","A"
"¿Qué papel tuvo el Observatorio Astronómico de Bogotá?","Centro científico","Base militar","Palacio de gobierno","Iglesia principal","A"
"¿Quién escribió el periódico 'La Bagatela'?","Antonio Nariño","Simón Bolívar","Camilo Torres","Francisco José de Caldas","A"
"¿Cuál fue la importancia de la Batalla de Pichincha?","Liberó a Quito, consolidando independencia","Derrota significativa","Acuerdo de paz","No tuvo relación","A"
"¿Qué eran las 'Juntas de Gobierno'?","Organismos locales de poder","Asociaciones comerciales","Grupos religiosos","Equipos deportivos","A"
"¿Qué buscaba el movimiento de la Ilustración?","Promover la razón y ciencia","Mantener tradiciones","Expandir la monarquía","Fomentar supersticiones","A"
"¿Qué significó el Congreso de Angostura?","Fundó la Gran Colombia","Dividió territorios","Reinstauró el virreinato","Fue un tratado con España","A"
"¿Qué país no formó parte de la Gran Colombia?","Chile","Ecuador","Venezuela","Panamá","A"
"¿Qué estrategia militar usó Bolívar en la Campaña Libertadora?","Ataques sorpresa","Guerra de trincheras","Batallas navales","Defensa pasiva","A"
"¿Qué lema se popularizó durante la independencia?","¡Libertad o muerte!","Todo por la patria","Unidos venceremos","Paz y amor","A"
"¿Quién fue José María Córdova?","General colombiano","Escritor español","Rey de España","Explorador portugués","A"
"¿Qué evento marcó el inicio formal de la independencia en Colombia?","Grito de Independencia","Batalla de Ayacucho","Descubrimiento de América","Firma del Acta de Unión","A"
"¿Cuál fue el impacto de la Constitución de Cádiz en las colonias?","Inspiró movimientos liberales","Fortaleció el absolutismo","No tuvo efecto","Prohibió la independencia","A"
"¿Qué rol tuvieron los llaneros en la independencia?","Fueron tropas clave","No participaron","Aliados de España","Eran comerciantes","A"
"¿Cuál fue la importancia de la Batalla de Carabobo?","Aseguró independencia de Venezuela","Ocurrió en Colombia","Fue una derrota","No tuvo relevancia","A"
"¿Qué buscaba la Carta de Jamaica escrita por Bolívar?","Solicitar apoyo internacional","Declarar la guerra","Firmar la paz","Anexar territorios","A"
"¿Qué era la Ley de Consolidación de Vales Reales?","Expropiación de bienes eclesiásticos","Reforma educativa","Impuesto al comercio","Regulación minera","A"
"¿Qué país europeo invadió España, afectando sus colonias?","Francia","Inglaterra","Alemania","Italia","A"
"¿Cuál fue el destino final de Simón Bolívar?","Murió en Santa Marta, Colombia","Fue presidente de España","Se exilió en Francia","Regresó a Venezuela","A"
"¿Qué papel desempeñó Manuelita Sáenz?","Compañera y colaboradora de Bolívar","Reina de España","Espía española","Líder indígena","A"
"¿Qué obstáculo natural cruzaron los independentistas en la Campaña Libertadora?","Páramo de Pisba","Desierto de Atacama","Selva Amazónica","Cordillera Blanca","A"
"¿Qué implicó el Decreto de Guerra a Muerte?","Medidas extremas contra realistas","Fin de la guerra","Reformas agrarias","Abolición de la esclavitud","A"
"¿Qué se conmemora el 7 de agosto en Colombia?","Batalla de Boyacá","Día de la Independencia","Nacimiento de Bolívar","Día del Trabajo","A"
"¿Qué era el Tribunal de la Inquisición?","Corte religiosa","Centro educativo","Mercado de esclavos","Asamblea política","A"
"¿Quién fue José Celestino Mutis?","Botánico y líder de la Expedición Botánica","General español","Virrey de Nueva Granada","Sacerdote inquisidor","A"
"¿Qué país fue clave en apoyar económicamente la independencia?","Inglaterra","Rusia","Estados Unidos","China","A"
"¿Cuál fue la consecuencia de la independencia para España?","Pérdida de territorios y recursos","Expansión territorial","Guerra civil inmediata","Fortalecimiento económico","A"
"¿Qué representaba la bandera tricolor adoptada tras la independencia?","Unión de pueblos","Herencia española","Riqueza minera","División política","A"
"¿Quién fue el autor del himno nacional de Colombia?","Rafael Núñez","Simón Bolívar","Antonio Nariño","Francisco de Paula Santander","A"
"¿Qué región se mantuvo leal a España durante más tiempo?","Costa Pacífica","Amazonía","Caribe","Los Andes","C"
"¿Qué efecto tuvo la independencia en la economía colombiana?","Crisis económica inicial","Prosperidad inmediata","Estabilidad financiera","Ningún cambio","A"
"¿Qué tratado reconoció oficialmente la independencia de Colombia?","Tratado de París","Tratado de Madrid","Tratado de Córdoba","Tratado de Tordesillas","B"
"¿Cuál fue el primer presidente de Colombia tras la independencia?","Simón Bolívar","Francisco de Paula Santander","Antonio Nariño","José Hilario López","B"
"¿Qué papel tuvo la Iglesia Católica tras la independencia?","Mantuvo influencia significativa","Perdió todo poder","Se separó del Estado","Fue prohibida","A"
"¿Qué sistema de gobierno se adoptó tras la independencia?","República","Monarquía","Imperio","Dictadura","A"
