Pregunta,Opción_A,Opción_B,Opción_C,Opción_D,Respuesta_Correcta
"¿Qué provincia fue liberada inmediatamente después de la batalla?","Santa Fe de Bogotá","Quito","Caracas","Lima","A"
"¿Cuál fue la duración aproximada de la Batalla de Boyacá?","Dos horas","Un día entero","Una semana","Un mes","A"
"¿Qué hizo Bolívar tras la victoria en Boyacá?","Entró triunfante en Bogotá","Se retiró a Venezuela","Firmó la paz con España","Abdicó al mando","A"
"¿Qué influencia tuvo la Revolución Francesa en esta batalla?","Inspiró ideas libertarias","Proporcionó armas","Envió tropas","No tuvo ninguna","A"
"¿Qué importancia tuvo el control de los puentes en la batalla?","Permitió cortar la retirada española","No fue relevante","Facilitó la logística","Obstaculizó a los patriotas","A"
"¿Qué rol tuvieron las fuerzas británicas en la batalla?","Voluntarios apoyaron a Bolívar","Fueron aliados de España","No participaron","Bloquearon puertos","A"
"¿Qué enseñanza militar se extrae de la Batalla de Boyacá?","Importancia de la movilidad","Uso de artillería pesada","Fortificación defensiva","Guerra naval efectiva","A"
"¿Qué mensaje envió Bolívar tras la victoria?","Anunció la liberación del territorio","Declaró la guerra a España","Pidió refuerzos","Solicitó armisticio","A"
"¿Cuál fue el papel de la población local en la batalla?","Apoyaron a los patriotas","Se mantuvieron neutrales","Apoyaron a los españoles","Fueron evacuados","A"
"¿Qué otro nombre recibe la Batalla de Boyacá?","No tiene otro nombre","Batalla de Tunja","Batalla de Vargas","Batalla de Pantano de Vargas","D"
"¿Cómo contribuyó la Batalla de Boyacá a la formación de la Gran Colombia?","Fue un paso clave para su consolidación","No tuvo relación","La impidió","Provocó su disolución","A"
"¿Qué papel tuvo Francisco de Paula Santander en la batalla?","Comandó una división importante","No participó","Era emisario de paz","Luchó por España","A"
"¿Qué sucedió el día anterior a la batalla?","Escaramuzas en los alrededores","Firma de un armisticio","Fiesta entre ambos bandos","Nada relevante","A"
"¿Qué motivó a las tropas patriotas a luchar con determinación?","Deseo de independencia","Obligación forzada","Recompensas económicas","Amenazas de castigo","A"
"¿Cuál fue el destino del virrey Juan Sámano tras la batalla?","Huyó a Cartagena y luego a España","Se rindió","Murió en combate","Se unió a Bolívar","A"
"¿Qué importancia tuvo la inteligencia y espionaje en la batalla?","Permitió conocer movimientos enemigos","No fue utilizada","Espías traicionaron a Bolívar","Los españoles tenían ventaja","A"
"¿Qué rol desempeñaron los indígenas en la batalla?","Apoyo logístico y combate","No participaron","Aliados de los españoles","Eran guías de montaña","A"
"¿Qué formación militar utilizó Bolívar en la batalla?","Ataque en pinza","Cuadro defensivo","Línea de batalla","Guerra de guerrillas","A"
"¿Qué le ofreció Bolívar a los soldados españoles que se rindieron?","Integrarse al ejército patriota","Ser ejecutados","Deportación inmediata","Confiscación de bienes","A"
"¿Qué impacto tuvo la Batalla de Boyacá en España?","Preocupación por pérdida de colonias","Fortaleció su determinación","No tuvo impacto","Provocó celebración","A"
"¿Cómo se llama el sitio histórico donde ocurrió la batalla?","Campo de Boyacá","Altos de Tocancipá","Llano de Bolívar","Cerro de Monserrate","A"
"¿Qué característica geográfica favoreció a los patriotas?","Conocimiento del terreno montañoso","Terreno plano favorable a caballería","Ríos navegables","Clima cálido","A"
"¿Qué canción o himno se asocia con la Batalla de Boyacá?","No hay una canción específica","Himno Nacional de Colombia","La Marsellesa","God Save the Queen","A"
"¿Qué hizo el pueblo de Bogotá al enterarse de la victoria?","Recibió a Bolívar con celebraciones","Evacuó la ciudad","Se sublevó contra los patriotas","Se alió con los españoles","A"
"¿Qué importancia tuvo el armamento en la batalla?","Los patriotas aprovecharon armas capturadas","Superioridad española en artillería","Uso de armas modernas","No fue relevante","A"
"¿Quién escribió relatos detallados sobre la batalla?","Historiadores de la época","Nadie, se perdió la información","Escritores españoles únicamente","Periodistas extranjeros","A"
"¿Qué fecha marcó el inicio de la Campaña Libertadora que culminó en Boyacá?","23 de mayo de 1819","20 de julio de 1810","5 de abril de 1818","12 de febrero de 1817","A"
"¿Qué estrategia evitó Bolívar para no desgastar a sus tropas?","Evitar enfrentamientos menores","Batallas frontales continuas","Guerra de desgaste","Sitios prolongados","A"
"¿Qué enseñanza dejó la Batalla de Boyacá para futuras generaciones militares?","Planeación estratégica efectiva","Dependencia de aliados extranjeros","Superioridad numérica es clave","Evitar combates en montañas","A"
"¿Cómo contribuyó la economía local al esfuerzo patriota?","Suministrando recursos y alimentos","Imponiendo impuestos","Bloqueando rutas","No contribuyó en nada","A"
"¿Qué rol tuvo la moral y motivación de las tropas en la victoria?","Fue determinante para el éxito","No influyó","Estaban desmotivados","Dependían de mercenarios","A"
"¿Cuál fue la reacción internacional tras la Batalla de Boyacá?","Reconocimiento de países europeos","Declaración de guerra de Inglaterra","Indiferencia total","Bloqueo naval a Colombia","A"
"¿Qué importancia tuvo la logística en la Campaña Libertadora?","Garantizó el movimiento de tropas","No fue considerada","Los españoles tenían ventaja","Fue un obstáculo","A"
"¿Qué técnica de combate cuerpo a cuerpo se destacó en la batalla?","Uso de bayonetas","Arquería","Combate con espadas largas","Lucha a caballo","A"
"¿Qué oficial francés apoyó a las tropas patriotas en Boyacá?","Emmanuel Serviez","Napoleón Bonaparte","Charles Leclerc","Jean Laffite","A"
"¿Qué papel desempeñó la artillería en la batalla?","Fue limitada pero efectiva","No se usó","Fue decisiva y masiva","Estaba solo del lado español","A"
"¿Cómo se comunicaban las órdenes durante la batalla?","Mensajeros a caballo","Radios","Señales de humo","Telégrafo","A"
"¿Qué formación usaron los españoles en la batalla?","Columna cerrada","Cuadro hueco","Línea extendida","Guerrillas","A"
"¿Qué obstáculo natural tuvieron que superar las tropas antes de llegar a Boyacá?","Páramo de Pisba","Desierto de la Tatacoa","Río Magdalena","Selva del Chocó","A"
"¿Qué sucedió con los prisioneros españoles tras la batalla?","Fueron tratados humanamente","Ejecutados sumariamente","Enviados a prisiones en Europa","Liberados inmediatamente","A"
"¿Cuál fue la principal causa de la derrota española en Boyacá?","Subestimación del enemigo","Superioridad numérica patriota","Deserción masiva","Enfermedades","A"
"¿Qué recurso natural fue importante para las tropas en la campaña?","Agua de manantiales","Petróleo","Oro","Sal","A"
"¿Cómo influyó la Batalla de Boyacá en la independencia de Ecuador y Perú?","Abrió camino para su liberación","No tuvo influencia","Impidió su independencia","Fortaleció al ejército español allí","A"
"¿Qué legado dejó la Batalla de Boyacá en Colombia?","Símbolo de unidad y libertad","Ninguno relevante","Desconfianza hacia militares","División política","A"
"¿Qué documento legalizó la independencia tras la batalla?","Ley Fundamental de la República","Constitución de Cádiz","Tratado de Versalles","Acta de Rendición Española","A"
"¿Qué fue del armamento capturado a los españoles?","Utilizado por los patriotas","Destruido","Devuelto a España","Vendido a otros países","A"
"¿Qué influencia tuvo la Masonería en la campaña libertadora?","Red de apoyo entre líderes","Ninguna","Oposición a la independencia","Controlaba al ejército español","A"
"¿Qué papel tuvieron las mujeres en la campaña que culminó en Boyacá?","Apoyo logístico y moral","Combatieron en primera línea","No participaron","Eran opositoras","A"
"¿Cómo afectó el terreno la movilidad de las tropas españolas?","Dificultó su avance","Les favoreció","No tuvo efecto","Facilitó su retirada","A"
"¿Qué hizo Bolívar para mantener alta la moral de sus tropas?","Discursos motivadores","Aumentó salarios","Descansos prolongados","Evitó combates","A"
"¿Qué significó la victoria en Boyacá para el resto de América Latina?","Inspiró otros movimientos independentistas","No tuvo impacto","Desalentó la lucha","Fortaleció a los realistas","A"
"¿Qué rol tuvo la diplomacia durante la campaña?","Fue secundaria a las acciones militares","Primordial para el éxito","Obstaculizó el avance","No existió","A"
"¿Qué tipo de gobierno se estableció en Nueva Granada tras la victoria?","Republicano","Monarquía constitucional","Dictadura militar","Protectorado extranjero","A"
"¿Qué aprendió el ejército español de su derrota en Boyacá?","Necesidad de reformar tácticas","Nada, continuaron igual","Que debían retirarse","Que tenían superioridad","A"
"¿Cómo se financió la Campaña Libertadora?","Donaciones y expropiaciones","Ayuda financiera de EE.UU.","Préstamos de España","Venta de recursos naturales","A"
"¿Qué comunicación oficial marcó la victoria en Boyacá?","Parte de guerra de Bolívar","No hubo comunicación","Declaración de independencia","Carta al rey de España","A"
"¿Qué elemento sorpresa utilizó Bolívar en la batalla?","Movimiento rápido y estratégico","Ninguno, fue frontal","Traición en las filas enemigas","Armas desconocidas","A"
"¿Qué característica personal de Bolívar influyó en la victoria?","Liderazgo carismático","Riqueza personal","Falta de experiencia","Indecisión táctica","A"
"¿Cómo conmemoró el gobierno colombiano la batalla en años posteriores?","Construyendo monumentos","Olvidándola","Prohibiendo su mención","Celebrando derrotas","A"
"¿Qué hizo el ejército patriota tras la victoria en Boyacá?","Continuó liberando territorios","Se disolvió","Regresó a Venezuela","Se alió con los españoles","A"
